wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace
E05000621,Roehampton and Putney Heath,4,10.0,0.0,0.0
E05000622,St Mary's Park,4,0.0,0.0,0.0
E05000623,Shaftesbury,2,0.0,0.0,0.0
E05000624,Southfields,3,0.0,0.0,0.0
E05000625,Thamesfield,1,0.0,0.0,0.0
E05000626,Tooting,4,0.0,0.0,0.0
E05000627,Wandsworth Common,1,0.0,0.0,0.0
E05000628,West Hill,4,0.0,0.0,0.0
E05000629,West Putney,4,0.0,0.0,0.0
E05000630,Abbey Road,2,0.0,0.0,0.0
E05000631,Bayswater,2,0.0,0.0,0.0
E05000632,Bryanston and Dorset Square,1,10.0,0.0,0.0
E05000633,Churchill,4,10.0,0.0,0.0
E05000634,Church Street,4,10.0,0.0,0.0
E05000635,Harrow Road,4,10.0,0.0,0.0
E05000636,Hyde Park,1,0.0,0.0,0.0
E05000638,Lancaster Gate,2,0.0,0.0,0.0
E05000639,Little Venice,1,0.0,0.0,0.0
E05000640,Maida Vale,0,0.0,0.0,0.0
E05000641,Marylebone High Street,2,0.0,0.0,0.0
E05000642,Queen's Park,4,10.0,0.0,0.0
E05000643,Regent's Park,0,0.0,0.0,0.0
E05000644,St James's,1,10.0,0.0,0.0
E05000645,Tachbrook,4,0.0,10.0,0.0
E05000646,Vincent Square,4,0.0,0.0,0.0
E05000647,Warwick,2,10.0,0.0,0.0
E05000648,Westbourne,4,0.0,10.0,0.0
E05000649,West End,1,0.0,0.0,0.0
